CHR	GENE_ID	GENE_NAME	gene_start	gene_stop	total_sample_count_male	z_score_male	total_sample_count_female	z_score_female
2	ENSG00000134317.17	GRHL1	9951692	10002277	416	1.001524180665335	212	1.183812560795478
2	ENSG00000134324.11	LPIN1	11677594	11827409	512	0.8823722485642379	260	1.0839306853141817
11	ENSG00000134333.13	LDHA	18394387	18408425	370	3.65946609514309	176	3.2495513491586543
11	ENSG00000134339.8	SAA2	18239222	18248643	255	2.0450370398046576	144	1.3287766862946482
10	ENSG00000134463.14	ECHDC3	11742365	11764070	446	4.118543038154488	219	3.854726927869232
12	ENSG00000134531.9	EMP1	13196715	13219939	475	1.758205113062066	251	1.1800997630450725
11	ENSG00000134824.13	FADS2	61816255	61867354	412	1.7089430090371829	211	1.3495839947616923
13	ENSG00000134871.17	COL4A2	110305811	110513027	551	3.8577899604674433	277	3.959812016138279
11	ENSG00000134955.11	SLC37A2	125063066	125090312	503	1.7247071040683646	238	1.5409150644260872
9	ENSG00000135046.13	ANXA1	73151756	73170393	417	1.7646334153111842	184	1.424218905567394
7	ENSG00000135205.14	CCDC146	77122433	77329533	518	1.5216379172202714	252	1.3287766862946482
7	ENSG00000135269.17	TES	116222803	116258783	443	1.9682619641441064	224	1.5149742301437101
6	ENSG00000135318.11	NT5E	85449583	85495791	356	1.673226156002393	171	1.2902649136056457
12	ENSG00000135390.17	ATP5G2	53632725	53677408	370	2.1452881872582026	200	1.86659359189657
12	ENSG00000135424.15	ITGA7	55684611	55716036	348	1.649264389847636	162	1.7352898424563423
12	ENSG00000135447.16	PPP1R1A	54575386	54588659	413	2.4777302536351185	209	2.1585303342304325
6	ENSG00000135535.15	CD164	109366513	109382457	396	2.6420688441675697	200	2.59100003617671
6	ENSG00000135596.17	MICAL1	109444061	109455987	380	1.5475863815141682	202	1.5787219040930762
2	ENSG00000135624.15	CCT7	73233419	73253021	359	1.5096654095894897	183	1.4007495073855714
12	ENSG00000135677.10	GNS	64713444	64759447	411	1.5383156167324756	210	1.7050917222843311
16	ENSG00000135698.9	MPHOSPH6	82147797	82170226	387	2.1045361257083632	188	1.3754824531728005
1	ENSG00000135744.7	AGT	230702522	230714297	429	2.7579634488689977	219	2.4714684622450562
1	ENSG00000135766.8	EGLN1	231363750	231425044	288	1.2502735761220598	150	0.9775493193709446
1	ENSG00000135773.12	CAPN9	230747383	230802003	421	1.23791180947581	204	1.199648977866816
1	ENSG00000135842.16	FAM129A	184790723	184974550	466	1.9192713299305328	247	1.8264672871986825
1	ENSG00000135862.5	LAMC1	183023459	183145592	393	4.168895568067846	208	3.5028403156901717
2	ENSG00000135916.15	ITM2C	230864638	230879248	415	2.5665381200104056	215	2.411047061117689
2	ENSG00000135930.13	EIF4E2	232550592	232583644	430	2.7324837274950484	229	2.6420449523576246
12	ENSG00000136003.15	ISCU	108562600	108569384	404	3.219834654227045	195	3.0511416587089664
3	ENSG00000136068.14	FLNB	58008399	58172251	461	2.818151874864936	240	2.3166036557675658
7	ENSG00000136193.16	SCRN1	29920102	29990289	337	1.5173031918958704	175	1.1280753337668177
7	ENSG00000136205.16	TNS3	47275153	47582558	528	2.2883782975025397	272	2.329516426610349
7	ENSG00000136235.15	GPNMB	23235966	23275108	322	4.116516488892001	162	3.7272043076486447
7	ENSG00000136237.18	RAPGEF5	22118237	22357144	533	0.9887264792984688	267	0.9341391953691384
15	ENSG00000136378.14	ADAMTS7	78759202	78811431	469	1.823525905943756	244	1.859576241840205
15	ENSG00000136383.6	ALPK3	84816679	84873482	468	1.238613448210026	241	1.210364970267466
8	ENSG00000136573.12	BLK	11494000	11564604	374	0.9646731881732916	206	0.9558107323404724
2	ENSG00000136695.14	IL36RN	113058637	113065382	119	2.1958544253693866	90	2.133672735494803
2	ENSG00000136717.14	BIN1	127048026	127107355	470	2.4214300549575745	242	2.453575072104031
2	ENSG00000136732.14	GYPC	126655932	126696675	512	1.7776514448100964	259	1.1677409726954595
9	ENSG00000136810.12	TXN	110243810	110256640	495	1.9879710020234087	253	2.100991005865045
9	ENSG00000136878.12	USP20	129834697	129881838	366	1.1450775587298845	199	0.8875362755864774
8	ENSG00000136960.12	ENPP2	119557085	119673453	456	0.9763628520130512	234	0.9910580642526252
8	ENSG00000136999.4	NOV	119416305	119424353	325	3.846128986085143	163	3.2141996682470477
9	ENSG00000137124.7	ALDH1B1	38392663	38398661	355	2.910270697149928	160	2.1382460085016217
9	ENSG00000137154.12	RPS6	19375996	19380254	270	1.341222573835925	155	1.3854262616049229
6	ENSG00000137265.14	IRF4	391738	411447	411	0.9187117393630794	196	1.2167781636786714
6	ENSG00000137266.14	SLC22A23	3268961	3457022	540	1.0313222853294222	270	0.7921793201612115
6	ENSG00000137310.11	TCF19	31158541	31164215	428	1.7635734749536862	227	1.686579895991153
6	ENSG00000137393.9	RNF144B	18387349	18468874	514	2.333364861045714	252	1.7469045040609623
6	ENSG00000137409.19	MTCH1	36968140	36986298	398	1.143379304660482	212	0.935302631368329
6	ENSG00000137411.16	VARS2	30914204	30926459	425	1.9194917566859109	198	1.295516518972328
4	ENSG00000137441.7	FGFBP2	15960242	15963236	339	3.7350502737422553	161	1.996872221203868
11	ENSG00000137507.11	LRRC32	76657523	76670747	495	1.0178483597421826	257	0.9785743019592432
8	ENSG00000137573.13	SULF1	69466623	69660915	500	1.5368639733626392	254	0.8966564021857607
15	ENSG00000137801.10	THBS1	39581078	39599466	281	5.00708933182744	141	4.691591901521602
15	ENSG00000137877.9	SPTBN5	41848147	41890205	481	2.4810998711247816	246	2.2121991793192084
1	ENSG00000137968.16	SLC44A5	75202130	75611116	311	3.1015844531307986	153	3.0504794653324128
2	ENSG00000138031.14	ADCY3	24819168	24919839	476	1.9512856920211783	235	2.356303557613995
2	ENSG00000138039.14	LHCGR	48686774	48755730	311	1.6978700189618208	199	2.409815692529667
2	ENSG00000138092.10	CENPO	24793382	24822376	360	0.8157394759335939	174	1.0638422500375442
10	ENSG00000138111.14	MFSD13A	102461394	102477045	391	1.6827917564976014	162	1.0035661613652926
10	ENSG00000138119.16	MYOF	93306428	93482317	527	1.9907322619160501	267	1.6740844908544696
10	ENSG00000138131.3	LOXL4	98247689	98268250	410	1.5975557923248669	209	1.4968280580284778
10	ENSG00000138152.8	BTBD16	122271305	122338162	392	2.5485138042598834	207	2.2513848059311896
10	ENSG00000138162.18	TACC2	121989193	122254545	545	2.708887827938816	277	2.4857982470090163
10	ENSG00000138316.10	ADAMTS14	70672802	70762441	499	2.824920496015529	251	2.12463551074826
4	ENSG00000138641.15	HERC3	88522029	88708542	410	2.9107705885836004	209	2.5366459206315493
4	ENSG00000138735.15	PDE5A	119494394	119628991	500	1.9734191623891908	243	1.9520968590759131
4	ENSG00000138744.14	NAAA	75913656	75940949	452	1.4116923970399815	217	1.0455288097432742
4	ENSG00000138759.18	FRAS1	78057569	78544269	533	2.667784898631361	263	2.4138422209924038
4	ENSG00000138772.12	ANXA3	78551518	78610421	360	3.1399916397323664	183	3.4519749084768754
4	ENSG00000138801.8	PAPSS1	107590275	107720452	466	0.7482541919837731	228	1.0977060501606324
4	ENSG00000138821.12	SLC39A8	102251040	102385510	475	1.3752619647931608	231	0.8726372487313964
5	ENSG00000138829.11	FBN2	128257908	128659185	339	1.9321674872019223	135	1.9629372099068918
9	ENSG00000138835.22	RGS3	113444730	113597743	391	1.1245370390723433	200	1.2080422789146252
12	ENSG00000139044.10	B4GALNT3	460363	563509	532	2.4557087045518577	270	2.4507529973009246
12	ENSG00000139190.16	VAMP1	6462322	6470987	425	2.3988464740483995	195	1.9366702059702896
12	ENSG00000139192.11	TAPBPL	6451718	6466517	429	2.503560658060984	197	2.0084996996939486
12	ENSG00000139197.10	PEX5	7188684	7218574	368	1.2524704118156311	181	1.025576265953053
12	ENSG00000139370.11	SLC15A4	128793190	128823983	482	0.843749586801672	246	1.0075321433766264
13	ENSG00000139832.4	RAB20	110523065	110561733	476	1.4010060419877088	235	1.3754824531728005
14	ENSG00000139899.10	CBLN3	24426531	24430954	302	1.583217846634553	141	1.6557170544417132
14	ENSG00000139970.16	RTN1	59595976	59870966	373	1.3793685937290203	173	1.0369331371889696
14	ENSG00000140009.18	ESR2	64084231	64303659	464	2.025605070042939	234	1.6664953083366716
14	ENSG00000140105.17	WARS	100333787	100376805	314	3.642431750245055	163	3.6182188786654175
15	ENSG00000140323.5	DISP2	40358234	40378639	342	0.8008472423898029	162	1.0035661613652926
15	ENSG00000140391.14	TSPAN3	77041403	77083984	271	1.6013538604500792	143	0.9757072177961701
15	ENSG00000140395.8	WDR61	78277834	78299700	446	0.8394850039864414	220	0.7799839254763609
15	ENSG00000140403.12	DNAJA4	78264156	78282196	482	2.1570380185205527	233	1.5643100600364028
15	ENSG00000140450.8	ARRDC4	97960697	97973838	446	2.519798324978028	222	2.3077043137002424
15	ENSG00000140470.13	ADAMTS17	99971588	100342005	549	1.317367099025731	277	1.2019798029286903
15	ENSG00000140545.14	MFGE8	88898682	88913411	490	5.12107116816635	240	4.511774699040715
15	ENSG00000140575.12	IQGAP1	90388217	90502243	360	1.8869165601191151	190	1.94111387204979
16	ENSG00000140830.8	TXNL4B	72044288	72094396	340	1.3887776053202985	183	0.8969397597491108
16	ENSG00000140853.15	NLRC5	56989484	57083531	543	1.516309164892205	277	1.6061448686576818
16	ENSG00000140876.11	NUDT7	77722491	77742260	415	0.8308367660494159	199	0.7551641523740263
16	ENSG00000140945.16	CDH13	82626802	83800640	551	2.603321026483098	270	2.036109578015997
16	ENSG00000140955.10	ADAD2	84191137	84197166	375	2.3372151532446512	173	1.531798285672512
16	ENSG00000140968.10	IRF8	85898802	85922609	430	1.2096167890303322	217	1.318660690703528
16	ENSG00000140987.19	ZSCAN32	3382080	3401065	411	1.8215631035299136	200	1.7348833293001813
16	ENSG00000140988.15	RPS2	1962051	1964860	384	2.071340916594452	194	1.9511189923772423
16	ENSG00000141013.16	GAS8	90019628	90044975	504	0.9687647736743826	253	1.1378922477491569
17	ENSG00000141255.12	SPATA22	3443173	3472341	96	1.1239555237416918	28	1.4855746179570162
17	ENSG00000141258.12	SGSM2	2337507	2381058	520	1.526229936706864	246	1.3020063077181463
17	ENSG00000141338.13	ABCA8	68867291	68955392	466	1.2947288563589276	244	0.9689125808400336
18	ENSG00000141401.11	IMPA2	11981024	12030883	504	1.2863644482307364	249	0.9849547156615044
18	ENSG00000141469.16	SLC14A1	45724126	45752520	353	2.664033806559335	164	1.7035619863656741
17	ENSG00000141504.11	SAT2	7626233	7627876	283	1.7514393330573153	146	1.3889183587130909
17	ENSG00000141519.14	CCDC40	80036631	80100613	484	0.9867803825616888	248	0.9127563676098174
17	ENSG00000141527.16	CARD14	80169991	80209263	505	2.7083591027272904	246	2.6405252365432377
17	ENSG00000141556.20	TBCD	82752063	82945922	509	2.622648487052188	258	2.017958292903661
17	ENSG00000141560.14	FN3KRP	82716682	82730328	446	0.9047398902385418	222	0.7948161622552333
17	ENSG00000141564.13	RPTOR	80544818	80966238	549	0.9065228106279436	278	0.7444505812507164
17	ENSG00000141698.16	NT5C3B	41825199	41836263	225	3.8312040223577406	134	3.704148337597684
17	ENSG00000141750.6	STAC2	39210535	39225872	336	1.2430554017003246	178	1.1684552056061597
19	ENSG00000141934.9	PLPP2	281039	291504	433	2.841589308511048	220	2.8155061656023723
11	ENSG00000142089.15	IFITM3	319668	321340	324	4.556999480657028	175	4.514910657673963
21	ENSG00000142156.14	COL6A1	45981736	46005050	489	4.820967184390672	233	4.19286251099438
21	ENSG00000142173.14	COL6A2	46098096	46132849	451	5.224222698946038	230	5.03193479407718
21	ENSG00000142188.16	TMEM50B	33432484	33480011	436	2.8490660996445896	224	2.632159493238081
19	ENSG00000142512.14	SIGLEC10	51410020	51417803	343	1.3685632508292735	168	1.5639735837882005
19	ENSG00000142552.7	RCN3	49527617	49546962	164	2.8486590779497414	91	3.1862291075257767
1	ENSG00000142583.17	SLC2A5	9035106	9088478	390	1.9506585927049007	204	0.9413935610111516
1	ENSG00000142599.17	RERE	8352396	8817643	477	1.670698188195587	247	1.6398333118596695
1	ENSG00000142657.20	PGD	10398591	10420144	341	2.0007732069802	165	1.8875474973096318
1	ENSG00000142661.18	MYOM3	24056034	24112175	409	1.5325589058913909	194	1.0006325612692806
1	ENSG00000142794.18	NBPF3	21440127	21485005	368	1.5292717092056554	182	1.1237332371977056
1	ENSG00000143036.16	SLC44A3	94820341	94895246	517	1.2026783022270973	252	0.8322499026971504
1	ENSG00000143126.7	CELSR2	109250018	109275750	437	1.2753637522012726	205	0.9325750833624216
1	ENSG00000143158.10	MPC2	167916728	167937040	294	1.2801774415835347	139	1.265606296560169
1	ENSG00000143248.12	RGS5	163111120	163217636	459	3.167335782835881	237	2.690338472628627
1	ENSG00000143369.14	ECM1	150508061	150513789	404	2.7515823887695228	201	3.229074007337076
1	ENSG00000143382.14	ADAMTSL4	150549368	150560894	427	1.0371599345885305	234	1.103630938266633
1	ENSG00000143452.15	HORMAD1	150698059	150720888	50	4.607302136182722	15	3.0849135209131684
1	ENSG00000143457.10	GOLPH3L	150646224	150697144	341	1.8940881656736128	176	1.4909200019909608
1	ENSG00000143641.9	GALNT2	230057989	230282124	539	2.4793318208411734	270	2.280017471713013
1	ENSG00000143819.12	EPHX1	225810091	225845535	486	1.0837208848353526	250	1.293653949602278
1	ENSG00000143847.15	PPFIA4	203026497	203078740	495	1.4294155413160363	246	0.8736802504941172
1	ENSG00000143850.13	PLEKHA6	204218850	204377665	442	2.024185987538432	219	1.8099100656421883
2	ENSG00000143869.6	GDF7	20666663	20679245	521	1.0606752710137148	257	1.3373182078638044
2	ENSG00000143878.9	RHOB	20447073	20449445	313	3.006134861414409	136	2.765322442554284
2	ENSG00000143954.12	REG3G	79025685	79028505	72	4.0292707284901566	22	3.9230697374356436
2	ENSG00000144230.16	GPR17	127645863	127652639	477	2.0672892054803653	241	1.4562969958623833
3	ENSG00000144455.13	SUMF1	3700813	4467281	540	1.1795354667890536	276	0.7561233706581746
2	ENSG00000144485.10	HES6	238238266	238240662	386	2.055829321561215	175	1.2409698445637225
3	ENSG00000144596.12	GRIP2	14489349	14556075	445	1.5301603169019315	229	1.2904330872855103
3	ENSG00000144712.11	CAND2	12796471	12871916	462	2.0541157276334934	222	2.278039840142497
3	ENSG00000144746.6	ARL6IP5	69084943	69106066	325	0.8909861680592529	186	0.9747168406054304
3	ENSG00000144810.15	COL8A1	99638474	99799226	450	1.6322593665202934	219	1.5994142121776391
3	ENSG00000144824.20	PHLDB2	111859179	111976517	503	2.1731236335522315	246	1.9444953935541904
3	ENSG00000144857.14	BOC	113211002	113286946	505	1.7430390477840896	266	1.559847322428664
3	ENSG00000144908.13	ALDH1L1	126103561	126197994	515	1.5358750133874977	256	1.3202017994068629
3	ENSG00000145113.21	MUC4	195746764	195812277	423	4.065822335136391	217	3.7464996325724496
3	ENSG00000145198.14	VWA5B2	184230428	184242300	201	1.4667110748275265	90	1.0360872138582282
4	ENSG00000145214.13	DGKQ	958886	986895	459	1.3443929092682163	225	1.0653561611018705
4	ENSG00000145284.11	SCD5	82629538	82798857	409	1.4969798358810769	208	1.5715119458873523
4	ENSG00000145358.6	DDIT4L	100185869	100190782	447	1.8121769661737912	227	1.280424901200526
4	ENSG00000145390.11	USP53	119212644	119295517	460	2.541573596803457	226	1.6687368036157113
4	ENSG00000145423.4	SFRP2	153780591	153789120	263	1.0971549635788609	135	0.7433977414218084
4	ENSG00000145439.11	CBR4	168863769	169010275	382	2.2203433103185195	192	2.323463565277794
4	ENSG00000145476.15	CYP4V2	186191519	186213456	483	2.6779029432731014	254	2.115235603372824
5	ENSG00000145545.11	SRD5A1	6633342	6674386	492	0.8078522999800878	248	0.8330929023297435
5	ENSG00000145632.14	PLK2	58453981	58460260	445	1.2849045927297114	225	0.8897424776400183
5	ENSG00000145920.14	CPLX2	175796309	175884020	360	1.1593245784081947	184	0.7799839254763609
6	ENSG00000145949.9	MYLK4	2663628	2750966	495	1.4882108529694442	244	1.643657778567436
6	ENSG00000145979.17	TBC1D7	13266541	13328583	427	2.5536865475222976	205	2.2818021636181136
6	ENSG00000146122.16	DAAM2	39792297	39904142	484	2.3247077869474717	260	1.6664953083366716
6	ENSG00000146242.8	TPBG	82363205	82370828	298	1.7389294512364504	137	1.8254942216338284
6	ENSG00000146477.5	SLC22A3	160348267	160452581	426	3.4158275670711293	217	3.6554556722523635
7	ENSG00000146535.13	GNA12	2728111	2844324	416	2.0509356927483924	201	1.9185241307560919
7	ENSG00000146540.14	C7orf50	996985	1138260	484	3.4070760242033846	242	2.888980898868953
7	ENSG00000146555.18	SDK1	3301447	4269000	546	1.5428872622954843	277	1.7725657780755015
7	ENSG00000146859.6	TMEM140	135148163	135165781	382	1.9155927420626373	192	1.534573971601506
7	ENSG00000146904.8	EPHA1	143390288	143408892	399	1.3570265767803558	199	1.317745676026944
8	ENSG00000147408.14	CSGALNACT1	19404160	19758029	530	3.0175822968973525	268	3.261837754251601
8	ENSG00000147419.17	CCDC25	27733310	27772653	391	1.6269662847550754	187	1.563554337981616
8	ENSG00000147454.13	SLC25A37	23528804	23575463	477	2.280838214787553	238	2.011308859413191
8	ENSG00000147459.17	DOCK5	25184722	25415716	524	1.077092490568517	264	0.8797644274433222
8	ENSG00000147576.15	ADHFE1	66432485	66471440	390	1.4469410669050329	199	1.7479550764674106
8	ENSG00000147684.7	NDUFB9	124543086	124568378	501	1.9821618844049589	260	1.691824204989823
9	ENSG00000147852.15	VLDLR	2621833	2660053	432	1.4018552389785013	224	1.4855746179570162
9	ENSG00000147853.16	AK3	4709558	4742043	520	2.7295551372287696	259	2.1085285626696666
9	ENSG00000147894.14	C9orf72	27546544	27573866	447	0.8680978847591745	230	0.880198255712744
9	ENSG00000148175.12	STOM	121338987	121370304	374	0.8868558639261346	213	0.9577618620794681
9	ENSG00000148180.19	GSN	121207793	121332843	383	1.2432815586012669	204	0.9413935610111516
9	ENSG00000148218.15	ALAD	113386316	113401333	495	0.8120647689552558	252	0.989047834359518
9	ENSG00000148384.12	INPP5E	136428618	136439823	370	1.7323305760168697	177	0.956713797604284
10	ENSG00000148600.14	CDHR1	84194634	84219621	397	2.211563500181425	208	1.8564620332353088
10	ENSG00000148677.6	ANKRD1	90912095	90921276	257	1.9370112523315937	123	1.4893989577536593
11	ENSG00000149043.16	SYT8	1828306	1837521	337	1.1286783945428571	192	1.9461685422152213
11	ENSG00000149090.11	PAMR1	35431822	35530300	438	1.403239546401848	237	1.2176287853694256
11	ENSG00000149257.13	SERPINH1	75562055	75572783	348	1.3774627874843617	176	1.4160846255157398
11	ENSG00000149328.14	GLB1L2	134331873	134378341	504	1.3585461924480895	256	1.7317963700205783
20	ENSG00000149451.17	ADAM33	3667964	3682246	479	4.667453790620617	236	4.072740490386085
11	ENSG00000149503.12	INCENP	62123972	62153163	433	1.1612383114881375	212	1.432322490222627
11	ENSG00000149573.8	MPZL2	118253402	118264536	359	2.036612248711605	177	1.8868710193301947
11	ENSG00000149577.15	SIDT2	117178732	117197445	298	1.5680185830493212	156	1.7087101360919243
11	ENSG00000149591.16	TAGLN	117199320	117204336	334	3.8701251104013576	174	3.5996432827841134
20	ENSG00000149596.6	JPH2	44111694	44187578	531	1.2151614395281949	264	1.0793254313772451
11	ENSG00000149743.13	TRPT1	64223886	64225870	211	2.21555901526	110	2.186889003210516
11	ENSG00000149968.11	MMP3	102835800	102843803	277	2.1245586664601164	118	2.2031244747170047
2	ENSG00000150540.13	HNMT	137964019	138016364	272	1.2443291971865131	154	0.7586023893405834
10	ENSG00000150760.12	DOCK1	126905408	127452517	538	1.106205254671142	272	1.0220983787785465
11	ENSG00000150782.11	IL18	112143250	112164117	376	1.2836000410053912	201	1.2304854455510743
10	ENSG00000151208.16	DLG5	77793543	77926526	453	2.2096215394982592	205	1.4465663520312562
10	ENSG00000151224.12	MAT1A	80271819	80289684	306	1.526687196624983	148	1.3584411598523936
10	ENSG00000151468.10	CCDC3	12896624	13099309	485	2.528039277107803	236	2.8449329577078837
10	ENSG00000151474.21	FRMD4A	13643765	14462142	551	0.89988426349383	277	1.1068821404042215
4	ENSG00000151552.11	QDPR	17460260	17512234	494	1.743476530436339	240	1.0818199439264191
10	ENSG00000151632.17	AKR1C2	4987399	5018031	471	4.45344192094194	220	3.8033331350752895
10	ENSG00000151640.12	DPYSL4	132186899	132205776	346	2.505276283817879	174	1.8207977822006989
2	ENSG00000151692.14	RNF144A	6917391	7068286	507	1.60336616750955	256	1.1915784960900764
4	ENSG00000151726.13	ACSL1	184755594	184826818	497	3.235271542099272	246	2.827917886578751
10	ENSG00000151892.14	GFRA1	116056924	116273467	475	1.0229542683857682	248	0.8330929023297435
10	ENSG00000151929.9	BAG3	119651369	119677819	449	2.39957092040776	231	1.8419335535533068
18	ENSG00000152229.18	PSTPIP2	45983535	46072260	336	0.9832011225178532	175	0.8270233049750709
5	ENSG00000152348.15	ATG10	81972024	82276857	446	2.5361120465410534	222	1.6254214218721013
5	ENSG00000152377.13	SPOCK1	136975297	137598379	465	1.8471467474987149	225	1.6800040532183522
2	ENSG00000152518.7	ZFP36L2	43222401	43226609	406	1.2818842020379353	198	1.095955515038405
2	ENSG00000152527.13	PLEKHH2	43637272	43767987	499	0.7544182634914689	252	0.8583828913075449
3	ENSG00000152580.8	IGSF10	151425383	151458709	317	0.9597022076811628	177	0.8078886421281382
3	ENSG00000152642.10	GPD1L	32105688	32168713	411	3.060770858268707	215	2.5335682356259586
13	ENSG00000152767.16	FARP1	98142561	98455176	543	1.6503040049862971	273	1.4976359973156599
3	ENSG00000152952.11	PLOD2	146069439	146163653	384	0.8776353215999741	186	0.903904871467587
4	ENSG00000153012.11	LGI2	24998846	25030879	390	2.2118454579344617	203	1.6964408019167525
16	ENSG00000153048.10	CARHSP1	8852941	8869012	445	3.050745806769697	219	2.1707601001528425
5	ENSG00000153113.23	CAST	96525266	96779595	514	2.6730965256578165	255	2.284321728660608
2	ENSG00000153208.16	MERTK	111898478	112029561	442	2.386335842688664	213	1.5761199024381018
6	ENSG00000153303.16	FRMD1	168055744	168081557	302	1.390478248830336	143	1.8507054658141384
5	ENSG00000153395.9	LPCAT1	1456479	1523977	517	1.1604582646036397	264	1.0044900549020241
5	ENSG00000153404.14	PLEKHG4B	92150	189972	343	1.814027729427796	182	1.7750477225644647
16	ENSG00000153446.15	C16orf89	5044121	5066110	409	1.3724530908449784	202	1.480917253650213
13	ENSG00000153531.13	ADPRHL1	113399609	113453524	456	2.5081354450886724	233	2.751398263694844
1	ENSG00000153898.12	MCOLN2	84925582	84997113	449	0.9087365703542052	226	1.1733663469478766
19	ENSG00000153902.13	LGI4	35124512	35142451	422	2.21555901526	218	2.1242744496826247
1	ENSG00000153904.18	DDAH1	85318484	85578363	528	0.8139021224444248	273	0.9428125468180508
16	ENSG00000154099.17	DNAAF1	84145309	84177846	384	1.483961973025741	180	1.1092595819673332
11	ENSG00000154134.14	ROBO3	124865385	124881466	378	2.4268360068649164	183	1.5446951495674173
5	ENSG00000154153.13	FAM134B	16473037	16617058	520	0.8266222619848255	272	0.7557724801461424
3	ENSG00000154175.16	ABI3BP	100749155	100993515	520	1.526229936706864	260	1.79313979160243
15	ENSG00000154227.13	CERS3	100400394	100544995	362	1.1679225806475655	175	1.2033383409647542
8	ENSG00000154316.16	TDH	11339636	11368452	210	1.0871428341908418	95	1.7678108949492786
8	ENSG00000154319.14	FAM167A	11421462	11474715	444	1.4865224740875047	206	1.627149449457989
1	ENSG00000154358.20	OBSCN	228208129	228378874	487	3.5447489177170004	242	3.4332381823251064
4	ENSG00000154553.13	PDLIM3	185500659	185535612	382	2.4679531470264244	172	1.6223170002207088
4	ENSG00000154556.17	SORBS2	185585443	185956652	552	3.3614326776443844	277	3.151481884680296
21	ENSG00000154645.13	CHODL	17901262	18267373	252	1.4162915878219724	128	0.8828825681297898
21	ENSG00000154723.12	ATP5J	25717660	25735673	161	1.201629357192974	74	1.1804543185059222
21	ENSG00000154734.14	ADAMTS1	26835746	26845409	469	2.4751008149386093	247	3.1862291075257767
17	ENSG00000154760.13	SLFN13	35435095	35448837	435	1.001122107289058	222	1.2991122127369032
18	ENSG00000154856.12	APCDD1	10454627	10489948	486	2.700591955304064	246	2.613754857966736
20	ENSG00000154930.14	ACSS1	25006229	25058980	473	1.3080647527290612	238	1.3195532785498032
8	ENSG00000155090.14	KLF10	102648778	102655902	397	0.9836374857070764	196	0.9143821526155336
10	ENSG00000155254.12	MARVELD1	97713172	97718152	243	0.9040685436721624	121	1.2562090485004944
14	ENSG00000155465.18	SLC7A7	22773221	22829820	509	0.8358312431648601	258	0.8182717925101949
8	ENSG00000155792.9	DEPTOR	119928399	120050913	455	2.0359440997186344	238	1.3195532785498032
8	ENSG00000155926.13	SLA	133036723	133103054	515	1.4087230165836484	255	1.1738234361812496
8	ENSG00000156011.16	PSD3	18527300	19084730	548	1.1886820002168876	275	1.0733386012592274
10	ENSG00000156113.22	KCNMA1	76869600	77638369	545	0.9733473211054292	278	1.1471618158080208
14	ENSG00000156414.18	TDRD9	103928461	104052667	318	2.69268273273713	155	2.065221165328221
8	ENSG00000156482.10	RPL30	98024850	98046469	419	1.369778292025587	203	1.4044722395109641
8	ENSG00000156804.7	FBXO32	123497888	123541206	509	2.0222778931060463	262	2.5017688468222854
3	ENSG00000156931.15	VPS8	184812142	185052614	374	1.3926684715326565	189	1.5029966103639458
2	ENSG00000156966.6	B3GNT7	231395542	231401164	307	1.2817090784082494	178	0.8724770874120272
1	ENSG00000157193.15	LRP8	53242363	53328070	423	1.778121777983853	192	1.5002744240503632
7	ENSG00000157214.13	STEAP2	90167589	90238137	430	0.905043401337389	230	0.9374635872763908
16	ENSG00000157368.10	IL34	70579894	70660682	375	1.5611170394196694	199	1.5824899224518465
21	ENSG00000157557.11	ETS2	38805306	38824955	469	3.93338751602233	228	3.5817153886013022
21	ENSG00000157601.13	MX1	41420303	41459214	463	2.1262606227373637	237	1.8011552652268452
21	ENSG00000157617.16	C2CD2	41885111	41953890	549	1.728211387423518	269	2.1448254012660795
1	ENSG00000157978.11	LDLRAP1	25543579	25568886	361	2.2016129689523773	190	1.8024714903693808
18	ENSG00000158270.11	COLEC12	316986	500722	535	1.6071751985111522	272	1.3610586134016065
1	ENSG00000158292.6	GPR153	6247345	6260975	281	1.589219524502122	152	1.2998928567778965
7	ENSG00000158457.5	TSPAN33	129144891	129169697	327	2.4819325308913736	165	1.4485132886550018
11	ENSG00000158483.15	FAM86C1	71787509	71801236	335	1.075766129430614	180	1.1824319500764384
7	ENSG00000158623.14	COPG2	130506296	130668647	377	5.928933406940383	184	4.931720463840797
16	ENSG00000158717.10	RNF166	88696494	88706421	518	1.1002525996270744	255	1.5095554780936136
1	ENSG00000158747.13	NBL1	19640553	19658456	429	2.859724565192204	244	2.0485048972038777
21	ENSG00000159128.14	IFNGR2	33402895	33479348	459	2.9454123025754697	236	2.7054093744489967
17	ENSG00000159199.13	ATP5G1	48892764	48895871	353	1.4479452252294684	170	1.2642128320807322
21	ENSG00000159212.12	CLIC6	34669388	34718227	341	1.5740330417538535	175	1.3914958589595956
21	ENSG00000159231.5	CBR3	36134911	36146255	375	1.9103611906409108	187	2.479187179560791
22	ENSG00000159307.18	SCUBE1	43197282	43343388	496	1.8647497793143013	250	1.8468370525071118
1	ENSG00000159388.5	BTG2	203305490	203309602	348	0.8965830294570293	180	0.9995010298036758
2	ENSG00000159399.9	HK2	74833987	74893359	486	1.5627937946038593	246	1.5429397149066628
1	ENSG00000159423.16	ALDH4A1	18871429	18902781	502	1.309658158516018	255	0.863916935954452
4	ENSG00000159674.11	SPON2	1166931	1208962	469	2.893970399292444	228	1.993104765179944
